question_id,skill1_id,skill2_id,skill3_id,question_type
0,25,,,MC
1,33,64,,FT
2,24,,,FT
3,34,,,FT
4,60,,,FT
5,27,,,FB
6,27,,,FB
7,33,64,,FT
8,27,,,FB
9,33,,,SC
10,7,,,FT
11,25,,,MC
12,34,,,FT
13,66,23,,FT
14,24,,,FT
15,66,47,,FB
16,23,,,FT
17,32,,,FT
18,27,,,FB
19,24,,,FT
20,47,59,,FT
21,66,47,,FB
22,47,,,FT
23,47,,,FB
24,66,,,FB
25,60,,,FT
26,27,,,FT
27,59,,,SC
28,47,,,SC
29,64,,,SC
